Reg_ID,Course_ID,Staff_ID,Reg_Status,Completion_Status
244,tch005,150216,Registered,OnGoing
303,SAL003,150216,Rejected,
45,COR002,150232,Waitlist,
144,tch001,150232,Registered,Completed
191,FIN001,150232,Registered,Completed
295,FIN002,150232,Registered,OnGoing
372,MGT004,150232,Registered,Completed
46,COR002,150233,Registered,Completed
145,tch002,150233,Registered,OnGoing
192,FIN002,150233,Registered,Completed
296,FIN003,150233,Registered,
373,MGT007,150233,Registered,Completed
47,COR002,150238,Registered,OnGoing
146,tch003,150238,Rejected,
193,FIN001,150238,Registered,OnGoing
297,HRD001,150238,Waitlist,
374,SAL001,150238,Registered,OnGoing
48,COR002,150245,Registered,OnGoing
194,FIN002,150245,Rejected,
239,tch001,150245,Rejected,
298,MGT001,150245,Waitlist,
375,SAL003,150245,Rejected,
52,COR002,150258,Registered,
304,SAL004,150258,Registered,
60,COR002,150265,Registered,OnGoing
153,tch001,150265,Registered,Completed
313,tch015,150265,Registered,Completed
213,COR002,150275,Waitlist,
312,tch014,150275,Registered,Completed
154,tch002,150276,Registered,Completed
214,COR002,150276,Registered,Completed
314,tch018,150276,Rejected,
53,COR002,150282,Waitlist,
150,tch005,150282,Registered,Completed
305,tch001,150282,Waitlist,
54,COR002,150283,Waitlist,
306,tch002,150283,Registered,Completed
55,COR002,150288,Registered,Completed
151,tch001,150288,Rejected,
307,tch003,150288,Registered,Completed
56,COR002,150295,Registered,Completed
308,tch005,150295,Registered,OnGoing
61,COR002,150318,Registered,OnGoing
155,tch003,150318,Registered,Completed
315,tch019,150318,Waitlist,
62,COR002,150342,Waitlist,
316,COR001,150342,Registered,Completed
63,COR002,150343,Waitlist,
156,tch005,150343,Rejected,
159,tch005,150345,Registered,Completed
215,COR002,150345,Registered,
322,MGT001,150345,Registered,Completed
64,COR002,150348,Registered,
317,COR006,150348,Registered,Completed
65,COR002,150355,Registered,
318,FIN001,150355,Rejected,
69,COR002,150356,Registered,Completed
323,MGT002,150356,Registered,OnGoing
160,tch001,150398,Registered,Completed
216,COR002,150398,Registered,Completed
324,MGT004,150398,Registered,Completed
70,COR002,150422,Registered,Completed
161,tch002,150422,Registered,OnGoing
325,MGT007,150422,Registered,Completed
71,COR002,150423,Waitlist,
162,tch003,150423,Rejected,
326,SAL001,150423,Waitlist,
72,COR002,150428,Waitlist,
327,SAL003,150428,Waitlist,
73,COR002,150435,Registered,Completed
328,SAL004,150435,Registered,Completed
77,COR002,150445,Rejected,
165,tch003,150445,Registered,Completed
332,tch005,150445,Rejected,
217,COR002,150446,Registered,
333,tch008,150446,Registered,
78,COR002,150488,Registered,
166,tch005,150488,Registered,Completed
334,tch012,150488,Registered,Completed
218,COR002,150512,Registered,
335,tch013,150512,Waitlist,
79,COR002,150513,Registered,Completed
167,tch001,150513,Rejected,
336,tch014,150513,Waitlist,
80,COR002,150518,Waitlist,
337,tch015,150518,Registered,Completed
81,COR002,150525,Waitlist,
338,tch018,150525,Registered,Completed
85,COR002,150555,Registered,OnGoing
169,tch001,150555,Registered,Completed
341,COR006,150555,Registered,OnGoing
207,COR002,150565,Registered,
269,COR006,150565,Registered,Completed
86,COR002,150566,Rejected,
170,tch002,150566,Registered,Completed
342,FIN001,150566,Registered,
209,COR002,150585,Registered,OnGoing
280,SAL004,150585,Waitlist,
171,tch003,150608,Registered,Completed
219,COR002,150608,Registered,OnGoing
343,FIN002,150608,Waitlist,
41,COR002,150615,Rejected,
290,tch018,150615,Waitlist,
87,COR002,150632,Registered,OnGoing
344,FIN003,150632,Waitlist,
172,tch005,150633,Rejected,
220,COR002,150633,Waitlist,
345,HRD001,150633,Registered,
88,COR002,150638,Registered,
346,MGT001,150638,Registered,
89,COR002,150645,Waitlist,
347,MGT002,150645,Registered,Completed
49,COR002,150655,Registered,
195,FIN001,150655,Waitlist,
240,tch002,150655,Registered,
299,MGT002,150655,Registered,Completed
376,SAL004,150655,Registered,OnGoing
93,COR002,150695,Registered,Completed
175,tch005,150695,Registered,Completed
351,SAL003,150695,Registered,Completed
57,COR002,150705,Registered,Completed
309,tch008,150705,Rejected,
66,COR002,150765,Registered,
157,tch002,150765,Registered,
319,FIN002,150765,Registered,
24,COR002,150776,Registered,
270,FIN001,150776,Registered,Completed
33,COR002,150796,Registered,OnGoing
281,tch001,150796,Waitlist,
141,tch002,150826,Registered,
211,COR002,150826,Rejected,
291,tch019,150826,Registered,Completed
74,COR002,150845,Registered,OnGoing
329,tch001,150845,Registered,OnGoing
50,COR002,150866,Rejected,
196,FIN002,150866,Registered,Completed
241,tch003,150866,Waitlist,
300,MGT004,150866,Registered,Completed
377,tch001,150866,Registered,
58,COR002,150916,Registered,Completed
310,tch012,150916,Waitlist,
208,COR002,150918,Registered,
271,FIN002,150918,Waitlist,
82,COR002,150935,Registered,Completed
339,tch019,150935,Registered,Completed
136,tch005,150938,Waitlist,
210,COR002,150938,Rejected,
282,tch002,150938,Registered,Completed
42,COR002,150968,Registered,Completed
142,tch003,150968,Waitlist,
292,COR001,150968,Registered,Completed
67,COR002,150976,Registered,Completed
158,tch003,150976,Waitlist,
320,FIN003,150976,Waitlist,
109,COR002,151008,Registered,
147,tch001,151008,Waitlist,
197,FIN001,151008,Registered,Completed
242,tch005,151008,Registered,Completed
301,MGT007,151008,Registered,Completed
378,tch002,151008,Waitlist,
90,COR002,151055,Waitlist,
173,tch002,151055,Registered,
348,MGT004,151055,Registered,Completed
75,COR002,151056,Registered,OnGoing
163,tch001,151056,Waitlist,
330,tch002,151056,Registered,OnGoing
59,COR002,151058,Rejected,
152,tch005,151058,Waitlist,
311,tch013,151058,Waitlist,
68,COR002,151118,Rejected,
321,HRD001,151118,Registered,Completed
83,COR002,151146,Registered,Completed
168,tch005,151146,Waitlist,
340,COR001,151146,Registered,OnGoing
76,COR002,151198,Registered,
164,tch002,151198,Waitlist,
331,tch003,151198,Registered,
91,COR002,151266,Registered,
174,tch003,151266,Waitlist,
349,MGT007,151266,Rejected,
84,COR002,151288,Registered,Completed
92,COR002,151408,Registered,
350,SAL001,151408,Registered,Completed
94,COR002,160008,Registered,Completed
176,HRD001,160008,Registered,Completed
352,SAL004,160008,Waitlist,
178,MGT002,160065,Registered,Completed
221,COR002,160065,Waitlist,
354,tch002,160065,Registered,OnGoing
95,COR002,160075,Rejected,
177,MGT001,160075,Registered,Completed
353,tch001,160075,Waitlist,
96,COR002,160076,Registered,Completed
355,tch003,160076,Registered,OnGoing
179,MGT004,160118,Rejected,
222,SAL004,160118,Registered,Completed
356,tch005,160118,Registered,
102,COR002,160135,Registered,
182,MGT004,160135,Registered,Completed
228,SAL004,160135,Waitlist,
362,tch018,160135,Waitlist,
97,COR002,160142,Registered,Completed
223,SAL004,160142,Registered,Completed
357,tch008,160142,Registered,
98,COR002,160143,Waitlist,
224,SAL003,160143,Registered,Completed
358,tch012,160143,Rejected,
101,COR002,160145,Registered,OnGoing
227,SAL003,160145,Registered,
361,tch015,160145,Waitlist,
103,COR002,160146,Registered,
183,MGT007,160146,Registered,Completed
229,SAL004,160146,Registered,Completed
363,tch019,160146,Registered,Completed
99,COR002,160148,Waitlist,
180,MGT001,160148,Registered,
225,SAL003,160148,Registered,OnGoing
359,tch013,160148,Registered,
100,COR002,160155,Registered,OnGoing
181,MGT002,160155,Waitlist,
226,SAL004,160155,Rejected,
360,tch014,160155,Registered,Completed
104,COR002,160188,Rejected,
184,HRD001,160188,Registered,Completed
230,SAL003,160188,Registered,Completed
364,COR001,160188,Registered,Completed
185,MGT001,160212,Registered,OnGoing
231,SAL003,160212,Registered,OnGoing
365,COR002,160212,Registered,Completed
105,COR002,160213,Registered,
186,MGT002,160213,Rejected,
232,SAL004,160213,Rejected,
366,COR006,160213,Registered,OnGoing
233,SAL004,160218,Waitlist,
367,FIN001,160218,Rejected,
106,COR002,160225,Registered,Completed
234,SAL003,160225,Waitlist,
368,FIN002,160225,Registered,OnGoing
107,COR002,160258,Waitlist,
187,MGT007,160258,Registered,
235,SAL003,160258,Registered,Completed
369,FIN003,160258,Registered,
108,COR002,160282,Waitlist,
188,MGT001,160282,Waitlist,
236,tch002,160282,Registered,Completed
370,HRD001,160282,Waitlist,
